name,name_id,specs,time,to,symop,err,file,line,loc,top,signature,weight,proof_coverage,rank,in_calls,out_calls,proof_trace,cyclomatic
"void DataBinderMapper$InnerBrLookup.<clinit>()","android.databinding.DataBinderMapper$InnerBrLookup.<clinit>():void",1,0,  ,140,0,/Users/rufi/github/liangfei/AndroidDataBinding/app/build/intermediates/classes/debug/android/databinding/DataBinderMapper.java,138,159,N,"class java.lang.Object *void DataBinderMapper$InnerBrLookup.<clinit>()(class java.lang.String *field)",25,0.96,0.00,0,0,138,1
"DataBinderMapper$InnerBrLookup.<init>()","android.databinding.DataBinderMapper$InnerBrLookup.<init>()",1,0,  ,18,0,/Users/rufi/github/liangfei/AndroidDataBinding/app/build/intermediates/classes/debug/android/databinding/DataBinderMapper.java,137,159,N,"void DataBinderMapper$InnerBrLookup.<init>()(class android.databinding.DataBinderMapper$InnerBrLookup *this)",5,0.80,0.30,0,1,137,1
"DataBinderMapper.<init>()","android.databinding.DataBinderMapper.<init>()",1,0,  ,18,0,/Users/rufi/github/liangfei/AndroidDataBinding/app/build/intermediates/classes/debug/android/databinding/DataBinderMapper.java,6,159,N,"void DataBinderMapper.<init>()(class android.databinding.DataBinderMapper *this)",5,0.80,0.30,0,1,6 7,1
"String DataBinderMapper.convertBrIdToString(int)","android.databinding.DataBinderMapper.convertBrIdToString(int):java.lang.String",2,0,  ,102,0,/Users/rufi/github/liangfei/AndroidDataBinding/app/build/intermediates/classes/debug/android/databinding/DataBinderMapper.java,131,159,N,"class java.lang.String *String DataBinderMapper.convertBrIdToString(int)(class android.databinding.DataBinderMapper *this, int id)",9,0.89,0.00,0,0,131 132 133 135,3
"ViewDataBinding DataBinderMapper.getDataBinder(DataBindingComponent,android.view.View[],int)","android.databinding.DataBinderMapper.getDataBinder(android.databinding.DataBindingComponent,android.0A12",2,0,  ,71,0,/Users/rufi/github/liangfei/AndroidDataBinding/app/build/intermediates/classes/debug/android/databinding/DataBinderMapper.java,47,159,N,"class android.databinding.ViewDataBinding *ViewDataBinding DataBinderMapper.getDataBinder(DataBindingComponent,android.view.View[],int)(class android.databinding.DataBinderMapper *this, class android.databinding.DataBindingComponent *bindingComponent, class android.view.View *(*views)[_t$1], int layoutId)",8,0.88,0.30,0,1,47 48 50 52,2
"ViewDataBinding DataBinderMapper.getDataBinder(DataBindingComponent,View,int)","android.databinding.DataBinderMapper.getDataBinder(android.databinding.DataBindingComponent,android.E0E6",0,0,TO,334,0,/Users/rufi/github/liangfei/AndroidDataBinding/app/build/intermediates/classes/debug/android/databinding/DataBinderMapper.java,8,159,N,"class android.databinding.ViewDataBinding *ViewDataBinding DataBinderMapper.getDataBinder(DataBindingComponent,View,int)(class android.databinding.DataBinderMapper *this, class android.databinding.DataBindingComponent *bindingComponent, class android.view.View *view, int layoutId)",98,0.00,1.26,0,17,,30
"int DataBinderMapper.getLayoutId(String)","android.databinding.DataBinderMapper.getLayoutId(java.lang.String):int",0,0,TO,334,0,/Users/rufi/github/liangfei/AndroidDataBinding/app/build/intermediates/classes/debug/android/databinding/DataBinderMapper.java,54,159,N,"int int DataBinderMapper.getLayoutId(String)(class android.databinding.DataBinderMapper *this, class java.lang.String *tag)",110,0.00,0.48,0,2,,36
"DataBindingInfo.<init>()","android.databinding.layouts.DataBindingInfo.<init>()",1,0,  ,18,0,/Users/rufi/github/liangfei/AndroidDataBinding/app/build/data-binding-info/debug/android/databinding/layouts/DataBindingInfo.java,6,6,N,"void DataBindingInfo.<init>()(class android.databinding.layouts.DataBindingInfo *this)",5,0.80,0.30,0,1,6,1
"R$anim.<init>()","android.support.v7.appcompat.R$anim.<init>()",1,0,  ,18,0,/Users/rufi/github/liangfei/AndroidDataBinding/app/build/generated/source/r/debug/com/liangfeizc/databinding/R.java,10,6867,N,"void R$anim.<init>()(class android.support.v7.appcompat.R$anim *this)",5,0.80,0.30,0,1,10,1
"R$attr.<init>()","android.support.v7.appcompat.R$attr.<init>()",1,0,  ,18,0,/Users/rufi/github/liangfei/AndroidDataBinding/app/build/generated/source/r/debug/com/liangfeizc/databinding/R.java,22,6867,N,"void R$attr.<init>()(class android.support.v7.appcompat.R$attr *this)",5,0.80,0.30,0,1,22,1
